,,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_used,gas_used,gas_used,gas_used,gas_used,gas_used,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,tcost_usd,tcost_usd,tcost_usd,tcost_usd,tcost_usd,tcost_usd
,,count,max,std,skew,mean,min,count,max,std,skew,mean,min,count,max,std,skew,mean,min,count,max,std,skew,mean,min
block_number,timestamp,,,,,,,,,,,,,,,,,,,,,,,,
18937500,2024-01-05 00:23:59,1629,92.467438782,7.133739475133879,8.476569942027583,16.679744209729282,14.570434829,1629,1132022,131729.80503072467,3.9367821889553154,97293.96132596685,21000,1629,9.246743878200001e-08,7.133739475133887e-09,0.0,1.6679744209729284e-08,1.4570434829000001e-08,1629,0.02148096940673758,0.00282602415200655,4.263292558670187,0.0017369287410594005,0.000305979131409
18937501,2024-01-05 00:24:11,1314,50.0,3.971551748695216,4.479346207886097,17.300837933527397,14.89736692,1314,524533,84383.12518744604,2.417567423820156,76665.96575342465,21000,1314,5.0000000000000004e-08,3.971551748695208e-09,0.0,1.7300837933527397e-08,1.489736692e-08,1314,0.00786136853264836,0.0012943531895651646,2.2695815436193674,0.0012608153462105873,0.00031284470532
18937502,2024-01-05 00:24:23,1350,64.415093863,5.5134885181859214,6.3909428227071245,16.332255113373332,14.415093863,1350,1851240,210732.80151339015,5.551460837990284,129694.91333333333,21000,1350,6.4415093863e-08,5.5134885181859195e-09,0.0,1.6332255113373334e-08,1.4415093863e-08,1350,0.02846660477286923,0.0035426992187024783,5.279881878761102,0.0021289401023817773,0.000302716971123
18937503,2024-01-05 00:24:35,1260,40.00000004,3.0361886806087846,4.463579481707117,16.315781514042857,14.950162566,1260,1343114,127279.76501525119,6.998316586169487,89262.2642857143,21000,1260,4.000000004000001e-08,3.036188680608784e-09,0.0,1.6315781514042857e-08,1.4950162566000002e-08,1260,0.020093203784670523,0.0019159497393826386,6.783634200467049,0.0014125978288697355,0.000313953413886
18937504,2024-01-05 00:24:47,1233,31.196281861,2.2436059488618074,4.39750775681664,15.95385451459124,14.638291835,1233,1751417,201250.25943037198,5.536936214867493,109555.85401459855,21000,1233,3.1196281861e-08,2.2436059488618084e-09,0.0,1.595385451459124e-08,1.4638291835e-08,1233,0.027389170170780196,0.0030698485707815245,5.652987518952306,0.001708512813662882,0.000307404128535
18937505,2024-01-05 00:24:59,1197,219.01248687,17.83505134711741,10.882255865943453,17.531334919789472,14.639408248,1197,1833412,201777.60955738495,6.72119175613222,94929.09022556391,21000,1197,2.1901248687000003e-07,1.783505134711741e-08,0.0,1.7531334919789475e-08,1.4639408248000001e-08,1197,0.027428141570455193,0.0035064064474073643,5.6862582426420865,0.0016160404542464204,0.00030742757320800004
18937506,2024-01-05 00:25:11,1773,43.98918863,3.126566182285565,5.104709681477963,15.893325819832487,14.349739375,1773,1162234,117788.43283637703,5.594129440195634,78248.56345177664,21000,1773,4.398918863e-08,3.1265661822855677e-09,0.0,1.589332581983249e-08,1.4349739375000002e-08,1773,0.016731992090517313,0.0019002752757129404,4.966830920562258,0.0012494998135699907,0.00030155452687500006
18937507,2024-01-05 00:25:23,1197,123.401163453,12.659707394640039,6.854901535067707,17.540887722097743,14.401163453,1197,790452,102461.02012363628,3.862066459226046,73519.72932330827,21000,1197,1.23401163453e-07,1.2659707394640042e-08,0.0,1.7540887722097743e-08,1.4401163453000001e-08,1197,0.0336474177600106,0.003225100417703148,7.908535056817604,0.001405964370743539,0.000302634432513
18937508,2024-01-05 00:25:35,1890,133.7744888,8.861216162665425,11.453414536899022,16.035962900538095,13.7744888,1890,2275514,196842.48287823572,7.8005080083835585,95928.72380952381,21000,1890,1.337744888e-07,8.86121616266544e-09,0.0,1.6035962900538096e-08,1.3774488800000002e-08,1890,0.0314578178072432,0.0031778947540895483,6.32381332288131,0.0015673824113174555,0.00028947426480000003
18937509,2024-01-05 00:25:47,1755,923.654679914,65.68473353871785,13.32097000267082,22.070569243923078,14.36507368,1755,573364,77978.42412308855,2.583682354664364,70133.60512820513,21000,1755,9.236546799140001e-07,6.568473353871784e-08,0.0,2.2070569243923077e-08,1.436507368e-08,1755,0.11405010891174099,0.008268329710985536,12.8702643114344,0.0018568868808889302,0.00030166654728
